3256,79
3256,81
3257,12
3256,79
3259,38
3261,26
3258,27
3259,22
3258,65
3260,21
3261,32
3259,3
3259,98
3261,28
3262,56
3264,72
3265,29
3267,38
3267,5
3265,94
3264,72
3264,83
3262,86
3262,1
3262,2
3262,1
3262,67
3265,8
3266,24
3266,38
3265,27
3266,15
3268,05
3268,85
3269,9
3268,75
3270,72
3272,68
3269,48
3268,87
3269,41
3268,41
3271,8
3272,09
3272,44
3276,2
3277,43
3283,66
3283,66
3283,66
3283,66
3283,66
3283,66
3283,66
3283,66
3283,66
3283,66
3283,61
3283,6
3283,6
3283,59
3283,57
3283,59
3284,28
3283,65
3283,01
3281,53
3281,05
3282,02
3280,12
3280,43
3281,57
3280,58
3280,54
3279,99
3277,64
3277,7
3277,51
3278,83
3278,05
3276,54
3275,57
3273,36
3271,15
3271,73
3273,04
3272,47
3272,97
3271,46
3272,33
3272,31
3272,46
3271,33
3272,12
3270,87
3271,15
3272,28
3272,98
3272,91
3273,13
3271,75
3271,44
3269,88
3270,13
3267,46
3265,28
3266,18
3266,27
3265,24
3265,59
3266,24
3265,95
3265,74
3267,49
3268,3
3268,52
3270,96
3271,57
3269,12
3267,2
3266,84
3267,22
3265,74
3263,91
3265,03
3266,65
3262,72
3260,71
3258,9
3258,93
3260,5
3261,29
3262,02
3261,95
3259,42
3255,75
3256,04
3257,04
3255,88
3265,73
3258,8
3257,83
3256,93
3255,86
3255,3
3255,9
3256,78
3257,13
3257,45
3257,69
3258,06
3257,91
3258,45
3258,73
3259,38
3259,66
3259,29
3258,44
3259,01
3259,56
3259,2
3259,02
3259,06
3257,85
3258,11
3258,19
3257,56
3257,64
3257,28
3256,66
3256,91
3256,53
3255,8
3254,12
3253,1
3253,42
3252,87
3253,32
3252,91
3252,54
3253,43
3253,04
3252,17
3250,93
3250,97
3252,22
3252,73
3252,6
3252,24
3251,88
3251,56
3251,26
3251,93
3253,41
3253,92
3253,76
3252,82
3252,95
3252,66
3252,88
3253
3252,84
3252,49
3252,5
3252,45
3252,04
3252,38
3253,04
3253,84
3252,1
3250,92
3250,13
3251,28
3251,86
3250,57
3250,03
3249,87
3249,7
3249,66
3248,96
3248,97
3248,14
3248,31
3250,17
3251,74
3252,02
3250,83
3250,35
3251,08
3250,91
3250,87
3250,04
3249,29
3249,17
3250,05
3250,04
3251,13
3251,64
3252,53
3251,73
3250,67
3249,52
3249,72
3249,51
3249,95
3250,13
3248,55
3248,31
3249,9
3250,79
3250,58
3248,59
3246,6
3247,05
3246,3
3246,46
3247,32
3248,08
3247,96
